uuid,dem_education_level,dem_full_time_job,normalized_job_code
d1b45750-db1c-0133-4d29-0a81e8b09a82,low,yes,4f75f97ac5b5f00f9420074d501f0803
2d942760-da74-0133-10cb-0a81e8b09a82,medium,yes,f36c6ada3a808453a0bf241c74a4e994
3bc291f0-db63-0133-06ac-0a81e8b09a82,low,no,
e789f760-db38-0133-48be-0a81e8b09a82,medium,yes,499f9d9b6722342608656559b15abd90
a5b4c5e0-db5b-0133-db35-0a81e8b09a82,low,yes,27af8700f5577cec835acee2cb90a2ff
ae9eb000-d8db-0133-9a27-0a81e8b09a82,high,yes,d4624ed8068d24948e18303212593cd6
acce6f50-dc15-0133-33e4-0a81e8b09a82,high,yes,3833bd699e7afe4665b595f282da0387
c8a75460-d9f9-0133-07e9-0a81e8b09a82,low,no,
1a19beb0-dc26-0133-4fec-0a81e8b09a82,medium,yes,375017ea3a1a97f5ea676def873bb25b
3b9d1070-dc2d-0133-5bfb-0a81e8b09a82,high,no,
9e839220-da3c-0133-6b31-0a81e8b09a82,high,no,
fc8164c0-da3f-0133-d922-0a81e8b09a82,medium,yes,775190277a849cba701b306a7b374c0a
6ef0f800-daf8-0133-f1b6-0a81e8b09a82,medium,no,
676428a0-da75-0133-3045-0a81e8b09a82,low,no,
7c3794b0-de52-0133-1d4b-0a81e8b09a82,high,yes,499f9d9b6722342608656559b15abd90
f85c3fd0-d8b2-0133-f59e-0a81e8b09a82,low,no,
23b9a0e0-dcd1-0133-96e7-0a81e8b09a82,low,yes,141ddda0f613da65a280521247de0e9f
bc7ccc90-dd3b-0133-7288-0a81e8b09a82,low,no,
cf8301c0-d96d-0133-0383-0a81e8b09a82,low,yes,41ba88cfd476ee8d5e3d9f7cea62f051
9e789300-da43-0133-6717-0a81e8b09a82,medium,no,
3a976580-dd6b-0133-f082-0a81e8b09a82,medium,yes,41b2978a2c07c5f477e60f26372d6c85
9b8783a0-d9a9-0133-8173-0a81e8b09a82,low,no,
f333ba70-d8bf-0133-111f-0a81e8b09a82,,no,
bc0ccb80-ddf7-0133-2628-0a81e8b09a82,medium,yes,894ca61c22718617c7e2404f582153da
328fb5d0-dd2f-0133-be6f-0a81e8b09a82,medium,yes,34d80517fe3bc143f9fc850386b8ffd7
9e43e5c0-dac1-0133-c6fc-0a81e8b09a82,high,yes,e7b3e1c6a32c7247cd4857e4c3574165
01650240-da8e-0133-cc2e-0a81e8b09a82,medium,yes,e7b3e1c6a32c7247cd4857e4c3574165
e99fa060-dbde-0133-9769-0a81e8b09a82,high,no,
a6361230-da58-0133-cd5a-0a81e8b09a82,medium,yes,861a9b9151e11362eb3c77ca914172d0
5bbb2320-db06-0133-c0ce-0a81e8b09a82,,yes,8a7a3f1bce0958ae9f090683e5a925b7
d49e3440-da75-0133-3373-0a81e8b09a82,low,no,
3f240350-dcdd-0133-404e-0a81e8b09a82,medium,yes,76385cb24e831b3364279b9de5641d8f
7bfa9de0-dd4a-0133-40d2-0a81e8b09a82,medium,yes,a003702c0cea282e17967772dd83de5e
5e758cc0-db05-0133-63ad-0a81e8b09a82,low,yes,a4d5b8b38f9513825d0d94a981ebe962
36359700-da1f-0133-fa9a-0a81e8b09a82,high,no,
d618b1a0-dc04-0133-dc0f-0a81e8b09a82,high,yes,5db2c8d6539f983e1ca3d7c5b939e190
b62d1cd0-deaf-0133-5130-0a81e8b09a82,medium,no,
b8d7f100-daae-0133-a546-0a81e8b09a82,low,no,
