uuid,age,gender,has_children,age_group
c9b4c8c0-da8d-0133-cb72-0a81e8b09a82,41,female,yes,40_65
42b32140-da2b-0133-45dd-0a81e8b09a82,18,female,no,14_25
67bd25c0-da23-0133-ed4d-0a81e8b09a82,44,male,yes,40_65
3e282710-d8cf-0133-69a6-0a81e8b09a82,24,male,yes,14_25
ac6ce6b0-d993-0133-6999-0a81e8b09a82,25,female,no,14_25
3f300750-d97a-0133-5751-0a81e8b09a82,29,male,no,26_39
f9be7a30-d9c6-0133-9486-0a81e8b09a82,45,female,yes,40_65
56196950-d970-0133-9208-0a81e8b09a82,24,male,yes,14_25
301dade0-da58-0133-905b-0a81e8b09a82,43,male,yes,40_65
830a4b90-d94a-0133-8930-0a81e8b09a82,39,male,no,26_39
5304d350-d9d4-0133-d00c-0a81e8b09a82,38,female,yes,26_39
2dd04700-d940-0133-c423-0a81e8b09a82,36,male,yes,26_39
bd531620-da30-0133-ac3f-0a81e8b09a82,30,female,no,26_39
ae2fbd30-d983-0133-7bb8-0a81e8b09a82,46,male,no,40_65
8d912430-da2a-0133-3fe4-0a81e8b09a82,62,male,yes,40_65
74cc4d00-d963-0133-427d-0a81e8b09a82,28,female,yes,26_39
110ab000-d8e1-0133-b213-0a81e8b09a82,29,female,yes,26_39
4d716090-d984-0133-7ebc-0a81e8b09a82,27,male,yes,26_39
decae590-d955-0133-8a8b-0a81e8b09a82,16,male,no,14_25
6e1ec7c0-da0c-0133-28f2-0a81e8b09a82,41,male,yes,40_65
